IsActiveMember,CustomerID,Surname,CreditScore,RiskLevel,Geography,Gender,Age,AgeGroup,Tenure,TenureGroup,Balance,NumuberofProducts,AccountType,HasCrCard,IsActiveMember,EstimatedSalary,CustomerValue,IncomeGroup,Exited,ChurnFlag
24,15725737,Mosman,669,Medium Risk,France,Male,46,Middle Age,3,Established,0,2,Standard,0,1,8487.75,Low value,Low,0,Retained
25,15625047,Yen,846,Low Risk,France,Female,38,Middle Age,5,Established,0,1,Basic,1,1,187616.16,Medium Value,High,0,Retained
26,15738191,Maclean,577,Medium Risk,France,Male,25,Adolescence,3,Established,0,2,Standard,0,1,124508.29,High Value,High,0,Retained
27,15736816,Young,756,Low Risk,Germany,Male,36,Middle Age,2,New,136815.64,1,Basic,1,1,170041.95,Medium Value,High,0,Retained
28,15700772,Nebechi,571,Medium Risk,France,Male,44,Middle Age,9,Very Loyal,0,2,Standard,0,0,38433.35,Low value,Low,0,Retained
29,15728693,McWilliams,574,Medium Risk,Germany,Female,43,Middle Age,3,Established,141349.43,1,Basic,1,1,100187.43,Medium Value,High,0,Retained
30,15656300,Lucciano,411,High Risk,France,Male,29,Adolescence,0,New,59697.17,2,Standard,1,1,53483.21,Medium Value,Medium,0,Retained
31,15589475,Azikiwe,591,Medium Risk,Spain,Female,39,Middle Age,3,Established,0,3,Premium,1,0,140469.38,High Value,High,1,Churned
32,15706552,Odinakachukwu,533,Medium Risk,France,Male,36,Middle Age,7,Loyal,85311.7,1,Basic,0,1,156731.91,Medium Value,High,0,Retained
33,15750181,Sanderson,553,Medium Risk,Germany,Male,41,Middle Age,9,Very Loyal,110112.54,2,Standard,0,0,81898.81,Medium Value,Medium,0,Retained
34,15659428,Maggard,520,Medium Risk,Spain,Female,42,Middle Age,6,Loyal,0,2,Standard,1,1,34410.55,Low value,Low,0,Retained
35,15732963,Clements,722,Low Risk,Spain,Female,29,Adolescence,9,Very Loyal,0,2,Standard,1,1,142033.07,High Value,High,0,Retained
36,15794171,Lombardo,475,High Risk,France,Female,45,Middle Age,0,New,134264.04,1,Basic,1,0,27822.99,Low value,Low,1,Churned
37,15788448,Watson,490,High Risk,Spain,Male,31,Middle Age,3,Established,145260.23,1,Basic,0,1,114066.77,Medium Value,High,0,Retained
38,15729599,Lorenzo,804,Low Risk,Spain,Male,33,Middle Age,7,Loyal,76548.6,1,Basic,0,1,98453.45,Medium Value,Medium,0,Retained
39,15717426,Armstrong,850,Low Risk,France,Male,36,Middle Age,7,Loyal,0,1,Basic,1,1,40812.9,Low value,Low,0,Retained
40,15585768,Cameron,582,Medium Risk,Germany,Male,41,Middle Age,6,Loyal,70349.48,2,Standard,0,1,178074.04,High Value,High,0,Retained
41,15619360,Hsiao,472,High Risk,Spain,Male,40,Middle Age,4,Established,0,1,Basic,1,0,70154.22,Medium Value,Medium,0,Retained
42,15738148,Clarke,465,High Risk,France,Female,51,Old,8,Loyal,122522.32,1,Basic,0,0,181297.65,Medium Value,High,1,Churned
43,15687946,Osborne,556,Medium Risk,France,Female,61,Old,2,New,117419.35,1,Basic,1,1,94153.83,Medium Value,Medium,0,Retained
44,15755196,Lavine,834,Low Risk,France,Female,49,Middle Age,2,New,131394.56,1,Basic,0,0,194365.76,Medium Value,High,1,Churned
45,15684171,Bianchi,660,Medium Risk,Spain,Female,61,Old,5,Established,155931.11,1,Basic,1,1,158338.39,Medium Value,High,0,Retained
46,15754849,Tyler,776,Low Risk,Germany,Female,32,Middle Age,4,Established,109421.13,2,Standard,1,1,126517.46,High Value,High,0,Retained
47,15602280,Martin,829,Low Risk,Germany,Female,27,Adolescence,9,Very Loyal,112045.67,1,Basic,1,1,119708.21,Medium Value,High,1,Churned
48,15771573,Okagbue,637,Medium Risk,Germany,Female,39,Middle Age,9,Very Loyal,137843.8,1,Basic,1,1,117622.8,Medium Value,High,1,Churned
49,15766205,Yin,550,Medium Risk,Germany,Male,38,Middle Age,2,New,103391.38,1,Basic,0,1,90878.13,Medium Value,Medium,0,Retained
50,15771873,Buccho,776,Low Risk,Germany,Female,37,Middle Age,2,New,103769.22,2,Standard,1,0,194099.12,High Value,High,0,Retained
51,15616550,Chidiebele,698,Medium Risk,Germany,Male,44,Middle Age,10,Very Loyal,116363.37,2,Standard,1,0,198059.16,High Value,High,0,Retained
52,15768193,Trevisani,585,Medium Risk,Germany,Male,36,Middle Age,5,Established,146050.97,2,Standard,0,0,86424.57,Medium Value,Medium,0,Retained
53,15683553,O'Brien,788,Low Risk,France,Female,33,Middle Age,5,Established,0,2,Standard,0,0,116978.19,High Value,High,0,Retained
54,15702298,Parkhill,655,Medium Risk,Germany,Male,41,Middle Age,8,Loyal,125561.97,1,Basic,0,0,164040.94,Medium Value,High,1,Churned
55,15569590,Yoo,601,Medium Risk,Germany,Male,42,Middle Age,1,New,98495.72,1,Basic,1,0,40014.76,Low value,Low,1,Churned
56,15760861,Phillipps,619,Medium Risk,France,Male,43,Middle Age,1,New,125211.92,1,Basic,1,1,113410.49,Medium Value,High,0,Retained
57,15630053,Tsao,656,Medium Risk,France,Male,45,Middle Age,5,Established,127864.4,1,Basic,1,0,87107.57,Medium Value,Medium,0,Retained
58,15647091,Endrizzi,725,Low Risk,Germany,Male,19,Adolescence,0,New,75888.2,1,Basic,0,0,45613.75,Low value,Low,0,Retained
59,15623944,T'ien,511,Medium Risk,Spain,Female,66,Old,4,Established,0,1,Basic,1,0,1643.11,Low value,Low,1,Churned
60,15804771,Velazquez,614,Medium Risk,France,Male,51,Old,4,Established,40685.92,1,Basic,1,1,46775.28,Low value,Low,0,Retained
61,15651280,Hunter,742,Low Risk,Germany,Male,35,Middle Age,5,Established,136857,1,Basic,0,0,84509.57,Medium Value,Medium,0,Retained
62,15773469,Clark,687,Medium Risk,Germany,Female,27,Adolescence,9,Very Loyal,152328.88,2,Standard,0,0,126494.82,High Value,High,0,Retained
63,15702014,Jeffrey,555,Medium Risk,Spain,Male,33,Middle Age,1,New,56084.69,2,Standard,0,0,178798.13,High Value,High,0,Retained
64,15751208,Pirozzi,684,Medium Risk,Spain,Male,56,Old,8,Loyal,78707.16,1,Basic,1,1,99398.36,Medium Value,Medium,0,Retained
65,15592461,Jackson,603,Medium Risk,Germany,Male,26,Adolescence,4,Established,109166.37,1,Basic,1,1,92840.67,Medium Value,Medium,0,Retained
66,15789484,Hammond,751,Low Risk,Germany,Female,36,Middle Age,6,Loyal,169831.46,2,Standard,1,1,27758.36,Low value,Low,0,Retained
67,15696061,Brownless,581,Medium Risk,Germany,Female,34,Middle Age,1,New,101633.04,1,Basic,1,0,110431.51,Medium Value,High,0,Retained
68,15641582,Chibugo,735,Low Risk,Germany,Male,43,Middle Age,10,Very Loyal,123180.01,2,Standard,1,1,196673.28,High Value,High,0,Retained
69,15638424,Glauert,661,Medium Risk,Germany,Female,35,Middle Age,5,Established,150725.53,2,Standard,0,1,113656.85,High Value,High,0,Retained
70,15755648,Pisano,675,Medium Risk,France,Female,21,Adolescence,8,Loyal,98373.26,1,Basic,1,0,18203,Low value,Low,0,Retained
71,15703793,Konovalova,738,Low Risk,Germany,Male,58,Old,2,New,133745.44,4,Premium,1,0,28373.86,Low value,Low,1,Churned
72,15620344,McKee,813,Low Risk,France,Male,29,Adolescence,6,Loyal,0,1,Basic,1,0,33953.87,Low value,Low,0,Retained
73,15812518,Palermo,657,Medium Risk,Spain,Female,37,Middle Age,0,New,163607.18,1,Basic,0,1,44203.55,Low value,Low,0,Retained
74,15779052,Ballard,604,Medium Risk,Germany,Female,25,Adolescence,5,Established,157780.84,2,Standard,1,1,58426.81,Medium Value,Medium,0,Retained
75,15770811,Wallace,519,Medium Risk,France,Male,36,Middle Age,9,Very Loyal,0,2,Standard,0,1,145562.4,High Value,High,0,Retained
76,15780961,Cavenagh,735,Low Risk,France,Female,21,Adolescence,1,New,178718.19,2,Standard,1,0,22388,Low value,Low,0,Retained
77,15614049,Hu,664,Medium Risk,France,Male,55,Old,8,Loyal,0,2,Standard,1,1,139161.64,High Value,High,0,Retained
78,15662085,Read,678,Medium Risk,France,Female,32,Middle Age,9,Very Loyal,0,1,Basic,1,1,148210.64,Medium Value,High,0,Retained
79,15575185,Bushell,757,Low Risk,Spain,Male,33,Middle Age,5,Established,77253.22,1,Basic,0,1,194239.63,Medium Value,High,0,Retained
80,15803136,Postle,416,High Risk,Germany,Female,41,Middle Age,10,Very Loyal,122189.66,2,Standard,1,0,98301.61,Medium Value,Medium,0,Retained
81,15706021,Buley,665,Medium Risk,France,Female,34,Middle Age,1,New,96645.54,2,Standard,0,0,171413.66,High Value,High,0,Retained
82,15663706,Leonard,777,Low Risk,France,Female,32,Middle Age,2,New,0,1,Basic,1,0,136458.19,Medium Value,High,1,Churned
83,15641732,Mills,543,Medium Risk,France,Female,36,Middle Age,3,Established,0,2,Standard,0,0,26019.59,Low value,Low,0,Retained
84,15701164,Onyeorulu,506,Medium Risk,France,Female,34,Middle Age,4,Established,90307.62,1,Basic,1,1,159235.29,Medium Value,High,0,Retained
85,15738751,Beit,493,High Risk,France,Female,46,Middle Age,4,Established,0,2,Standard,1,0,1907.66,Low value,Low,0,Retained
86,15805254,Ndukaku,652,Medium Risk,Spain,Female,75,Old,10,Very Loyal,0,2,Standard,1,1,114675.75,High Value,High,0,Retained
87,15762418,Gant,750,Low Risk,Spain,Male,22,Adolescence,3,Established,121681.82,1,Basic,1,0,128643.35,Medium Value,High,1,Churned
88,15625759,Rowley,729,Low Risk,France,Male,30,Middle Age,9,Very Loyal,0,2,Standard,1,0,151869.35,High Value,High,0,Retained
89,15622897,Sharpe,646,Medium Risk,France,Female,46,Middle Age,4,Established,0,3,Premium,1,0,93251.42,Medium Value,Medium,1,Churned
90,15767954,Osborne,635,Medium Risk,Germany,Female,28,Adolescence,3,Established,81623.67,2,Standard,1,1,156791.36,High Value,High,0,Retained
91,15757535,Heap,647,Medium Risk,Spain,Female,44,Middle Age,5,Established,0,3,Premium,1,1,174205.22,High Value,High,1,Churned
92,15731511,Ritchie,808,Low Risk,France,Male,45,Middle Age,7,Loyal,118626.55,2,Standard,1,0,147132.46,High Value,High,0,Retained
93,15809248,Cole,524,Medium Risk,France,Female,36,Middle Age,10,Very Loyal,0,2,Standard,1,0,109614.57,High Value,High,0,Retained
94,15640635,Capon,769,Low Risk,France,Male,29,Adolescence,8,Loyal,0,2,Standard,1,1,172290.61,High Value,High,0,Retained
95,15676966,Capon,730,Low Risk,Spain,Male,42,Middle Age,4,Established,0,2,Standard,0,1,85982.47,Medium Value,Medium,0,Retained
96,15699461,Fiorentini,515,Medium Risk,Spain,Male,35,Middle Age,10,Very Loyal,176273.95,1,Basic,0,1,121277.78,Medium Value,High,0,Retained
97,15738721,Graham,773,Low Risk,Spain,Male,41,Middle Age,9,Very Loyal,102827.44,1,Basic,0,1,64595.25,Medium Value,Medium,0,Retained
98,15693683,Yuille,814,Low Risk,Germany,Male,29,Adolescence,8,Loyal,97086.4,2,Standard,1,1,197276.13,High Value,High,0,Retained
99,15604348,Allard,710,Low Risk,Spain,Male,22,Adolescence,8,Loyal,0,2,Standard,0,0,99645.04,Medium Value,Medium,0,Retained
100,15633059,Fanucci,413,High Risk,France,Male,34,Middle Age,9,Very Loyal,0,2,Standard,0,0,6534.18,Low value,Low,0,Retained
101,15808582,Fu,665,Medium Risk,France,Female,40,Middle Age,6,Loyal,0,1,Basic,1,1,161848.03,Medium Value,High,0,Retained
102,15743192,Hung,623,Medium Risk,France,Female,44,Middle Age,6,Loyal,0,2,Standard,0,0,167162.43,High Value,High,0,Retained
103,15580146,Hung,738,Low Risk,France,Male,31,Middle Age,9,Very Loyal,82674.15,1,Basic,1,0,41970.72,Low value,Low,0,Retained
104,15776605,Bradley,528,Medium Risk,Spain,Male,36,Middle Age,7,Loyal,0,2,Standard,1,0,60536.56,Medium Value,Medium,0,Retained
105,15804919,Dunbabin,670,Medium Risk,Spain,Female,65,Old,1,New,0,1,Basic,1,1,177655.68,Medium Value,High,1,Churned
106,15613854,Mauldon,622,Medium Risk,Spain,Female,46,Middle Age,4,Established,107073.27,2,Standard,1,1,30984.59,Low value,Low,1,Churned
107,15599195,Stiger,582,Medium Risk,Germany,Male,32,Middle Age,1,New,88938.62,1,Basic,1,1,10054.53,Low value,Low,0,Retained
108,15812878,Parsons,785,Low Risk,Germany,Female,36,Middle Age,2,New,99806.85,1,Basic,0,1,36976.52,Low value,Low,0,Retained
109,15602312,Walkom,605,Medium Risk,Spain,Male,33,Middle Age,5,Established,150092.8,1,Basic,0,0,71862.79,Medium Value,Medium,0,Retained
110,15744689,T'ang,479,High Risk,Germany,Male,35,Middle Age,9,Very Loyal,92833.89,1,Basic,1,0,99449.86,Medium Value,Medium,1,Churned
111,15803526,Eremenko,685,Medium Risk,Germany,Male,30,Middle Age,3,Established,90536.81,1,Basic,0,1,63082.88,Medium Value,Medium,0,Retained
112,15665790,Rowntree,538,Medium Risk,Germany,Male,39,Middle Age,7,Loyal,108055.1,2,Standard,1,0,27231.26,Low value,Low,0,Retained
113,15715951,Thorpe,562,Medium Risk,France,Male,42,Middle Age,2,New,100238.35,1,Basic,0,0,86797.41,Medium Value,Medium,0,Retained
114,15591100,Chiemela,675,Medium Risk,Spain,Male,36,Middle Age,9,Very Loyal,106190.55,1,Basic,0,1,22994.32,Low value,Low,0,Retained
115,15609618,Fanucci,721,Low Risk,Germany,Male,28,Adolescence,9,Very Loyal,154475.54,2,Standard,0,1,101300.94,High Value,High,1,Churned
116,15675522,Ko,628,Medium Risk,Germany,Female,30,Middle Age,9,Very Loyal,132351.29,2,Standard,1,1,74169.13,Medium Value,Medium,0,Retained
117,15705512,Welch,668,Medium Risk,Germany,Female,37,Middle Age,6,Loyal,167864.4,1,Basic,1,0,115638.29,Medium Value,High,0,Retained
118,15698028,Duncan,506,Medium Risk,France,Female,41,Middle Age,1,New,0,2,Standard,1,0,31766.3,Low value,Low,0,Retained
119,15661670,Chidozie,524,Medium Risk,Germany,Female,31,Middle Age,8,Loyal,107818.63,1,Basic,1,0,199725.39,Medium Value,High,1,Churned
120,15600781,Wu,699,Medium Risk,Germany,Male,34,Middle Age,4,Established,185173.81,2,Standard,1,0,120834.48,High Value,High,0,Retained
121,15682472,Culbreth,828,Low Risk,France,Male,34,Middle Age,8,Loyal,129433.34,2,Standard,0,0,38131.77,Low value,Low,0,Retained
122,15580203,Kennedy,674,Medium Risk,Spain,Male,39,Middle Age,6,Loyal,120193.42,1,Basic,0,0,100130.95,Medium Value,High,0,Retained
123,15690673,Cameron,656,Medium Risk,France,Female,39,Middle Age,6,Loyal,0,2,Standard,1,0,141069.88,High Value,High,0,Retained
124,15760085,Calabresi,684,Medium Risk,Germany,Female,48,Middle Age,10,Very Loyal,126384.42,1,Basic,1,1,198129.36,Medium Value,High,0,Retained
125,15779659,Zetticci,625,Medium Risk,France,Female,28,Adolescence,3,Established,0,1,Basic,0,0,183646.41,Medium Value,High,0,Retained
126,15627360,Fuller,432,High Risk,France,Male,42,Middle Age,9,Very Loyal,152603.45,1,Basic,1,0,110265.24,Medium Value,High,1,Churned
127,15671137,MacDonald,549,Medium Risk,France,Female,52,Old,1,New,0,1,Basic,0,1,8636.05,Low value,Low,1,Churned
128,15782688,Piccio,625,Medium Risk,Germany,Male,56,Old,0,New,148507.24,1,Basic,1,0,46824.08,Low value,Low,1,Churned
129,15575492,Kennedy,828,Low Risk,France,Female,41,Middle Age,7,Loyal,0,2,Standard,1,0,171378.77,High Value,High,0,Retained
130,15591607,Fernie,770,Low Risk,France,Male,24,Adolescence,9,Very Loyal,101827.07,1,Basic,1,0,167256.35,Medium Value,High,0,Retained
131,15740404,He,758,Low Risk,France,Female,34,Middle Age,3,Established,0,2,Standard,1,1,124226.16,High Value,High,0,Retained
132,15718369,Kaodilinakachukwu,795,Low Risk,Germany,Female,33,Middle Age,9,Very Loyal,130862.43,1,Basic,1,1,114935.21,Medium Value,High,0,Retained
133,15677871,Cocci,687,Medium Risk,France,Male,38,Middle Age,9,Very Loyal,122570.87,1,Basic,1,1,35608.88,Low value,Low,0,Retained
134,15642004,Alekseeva,686,Medium Risk,France,Male,25,Adolescence,1,New,0,2,Standard,0,1,16459.37,Low value,Low,0,Retained
135,15712543,Chinweike,789,Low Risk,Germany,Male,39,Middle Age,7,Loyal,124828.46,2,Standard,1,1,124411.08,High Value,High,0,Retained
136,15584518,Arthur,589,Medium Risk,Germany,Female,50,Middle Age,5,Established,144895.05,2,Standard,1,1,34941.23,Low value,Low,0,Retained
137,15802381,Li,461,High Risk,Germany,Female,34,Middle Age,5,Established,63663.93,1,Basic,0,1,167784.28,Medium Value,High,0,Retained
138,15610156,Ma,637,Medium Risk,France,Male,40,Middle Age,2,New,133463.1,1,Basic,0,1,93165.34,Medium Value,Medium,0,Retained
139,15594408,Chia,584,Medium Risk,Spain,Female,48,Middle Age,2,New,213146.2,1,Basic,1,0,75161.25,Medium Value,Medium,1,Churned
140,15640905,Vasin,579,Medium Risk,Spain,Female,35,Middle Age,1,New,129490.36,2,Standard,0,1,8590.83,Low value,Low,1,Churned
141,15698932,Groves,756,Low Risk,Germany,Male,44,Middle Age,10,Very Loyal,137452.09,1,Basic,1,0,189543.9,Medium Value,High,0,Retained
142,15724944,Tien,663,Medium Risk,France,Male,34,Middle Age,7,Loyal,0,2,Standard,1,1,180427.24,High Value,High,0,Retained
143,15628145,Forwood,682,Medium Risk,France,Female,43,Middle Age,5,Established,125851.93,1,Basic,1,1,193318.33,Medium Value,High,0,Retained
144,15713483,Greeves,793,Low Risk,Spain,Male,52,Old,2,New,0,1,Basic,1,0,159123.82,Medium Value,High,1,Churned
145,15612350,Taylor,691,Medium Risk,France,Female,31,Middle Age,5,Established,40915.55,1,Basic,1,0,126213.84,Medium Value,High,1,Churned
146,15800703,Madukwe,485,High Risk,Spain,Female,21,Adolescence,5,Established,113157.22,1,Basic,1,1,54141.5,Medium Value,Medium,0,Retained
147,15705707,Bennelong,635,Medium Risk,Spain,Female,29,Adolescence,8,Loyal,138296.94,2,Standard,1,0,141075.51,High Value,High,0,Retained
148,15754105,Olisanugo,650,Medium Risk,France,Male,37,Middle Age,5,Established,106967.18,1,Basic,0,0,24495.03,Low value,Low,0,Retained
149,15703264,Chukwufumnanya,735,Low Risk,France,Male,44,Middle Age,9,Very Loyal,120681.63,1,Basic,1,0,74836.34,Medium Value,Medium,0,Retained
150,15794413,Harris,416,High Risk,France,Male,32,Middle Age,0,New,0,2,Standard,0,1,878.87,Low value,Low,0,Retained
151,15650237,Morgan,754,Low Risk,Spain,Female,32,Middle Age,7,Loyal,0,2,Standard,1,0,89520.75,Medium Value,Medium,0,Retained
152,15759618,Alexeeva,535,Medium Risk,France,Female,48,Middle Age,9,Very Loyal,0,1,Basic,1,0,149892.79,Medium Value,High,1,Churned
153,15811589,Metcalfe,716,Low Risk,Spain,Male,42,Middle Age,8,Loyal,0,2,Standard,1,0,180800.42,High Value,High,0,Retained
154,15689044,Humphries,539,Medium Risk,France,Male,37,Middle Age,2,New,127609.59,1,Basic,1,0,98646.22,Medium Value,Medium,0,Retained
155,15709368,Milne,614,Medium Risk,France,Female,43,Middle Age,6,Loyal,0,2,Standard,1,1,109041.53,High Value,High,0,Retained
156,15679145,Chou,706,Low Risk,Spain,Male,57,Old,7,Loyal,0,1,Basic,1,0,17941.16,Low value,Low,1,Churned
157,15655007,Li,758,Low Risk,France,Female,33,Middle Age,7,Loyal,0,2,Standard,0,0,82996.47,Medium Value,Medium,0,Retained
158,15623595,Clayton,586,Medium Risk,Spain,Female,28,Adolescence,2,New,0,2,Standard,1,1,92067.35,Medium Value,Medium,0,Retained
159,15589975,Maclean,646,Medium Risk,France,Female,73,Old,6,Loyal,97259.25,1,Basic,0,1,104719.66,Medium Value,High,0,Retained
160,15804017,Chigolum,631,Medium Risk,Germany,Female,33,Middle Age,4,Established,123246.7,1,Basic,0,0,112687.57,Medium Value,High,0,Retained
161,15692132,Wilkinson,717,Low Risk,Spain,Female,22,Adolescence,6,Loyal,101060.25,1,Basic,0,1,84699.56,Medium Value,Medium,0,Retained
162,15641122,Wei,684,Medium Risk,France,Male,30,Middle Age,2,New,0,2,Standard,1,0,83473.82,Medium Value,Medium,0,Retained
163,15630910,Treacy,800,Low Risk,France,Female,49,Middle Age,7,Loyal,108007.36,1,Basic,0,0,47125.11,Low value,Low,0,Retained
164,15680772,Hu,721,Low Risk,Spain,Female,36,Middle Age,2,New,0,2,Standard,1,1,106977.8,High Value,High,0,Retained
165,15658929,Taverner,683,Medium Risk,Spain,Male,29,Adolescence,0,New,133702.89,1,Basic,1,0,55582.54,Medium Value,Medium,1,Churned
166,15585388,Sherman,660,Medium Risk,Germany,Male,31,Middle Age,9,Very Loyal,125189.75,2,Standard,1,1,139874.43,High Value,High,0,Retained
167,15724623,Taubman,704,Low Risk,Germany,Female,24,Adolescence,7,Loyal,113034.22,1,Basic,1,0,162503.48,Medium Value,High,1,Churned
168,15588537,Robinson,615,Medium Risk,Spain,Female,41,Middle Age,9,Very Loyal,109013.23,1,Basic,1,0,196499.96,Medium Value,High,0,Retained
169,15574692,Pinto,667,Medium Risk,Spain,Female,39,Middle Age,2,New,0,2,Standard,1,0,40721.24,Low value,Low,1,Churned
170,15611325,Wood,682,Medium Risk,Germany,Male,24,Adolescence,9,Very Loyal,57929.81,2,Standard,0,0,53134.3,Medium Value,Medium,0,Retained
171,15587562,Hawkins,484,High Risk,France,Female,29,Adolescence,4,Established,130114.39,1,Basic,1,0,164017.89,Medium Value,High,0,Retained
172,15613172,Sun,628,Medium Risk,Germany,Male,27,Adolescence,5,Established,95826.49,2,Standard,1,0,155996.96,High Value,High,0,Retained
173,15651022,Yost,480,High Risk,Germany,Male,44,Middle Age,10,Very Loyal,129608.57,1,Basic,1,0,5472.7,Low value,Low,1,Churned
174,15586310,Ting,578,Medium Risk,France,Male,30,Middle Age,4,Established,169462.09,1,Basic,1,0,112187.11,Medium Value,High,0,Retained
175,15625524,Rowe,512,Medium Risk,France,Male,40,Middle Age,5,Established,0,2,Standard,1,1,146457.83,High Value,High,0,Retained
176,15755209,Fu,484,High Risk,Spain,Female,35,Middle Age,7,Loyal,133868.21,1,Basic,1,1,27286.1,Low value,Low,0,Retained
177,15645248,Ho,510,Medium Risk,France,Female,30,Middle Age,0,New,0,2,Standard,1,1,130553.47,High Value,High,0,Retained
178,15790355,Okechukwu,606,Medium Risk,Germany,Male,36,Middle Age,5,Established,190479.48,2,Standard,0,0,179351.89,High Value,High,0,Retained
179,15762615,Campbell,597,Medium Risk,Spain,Female,40,Middle Age,8,Loyal,101993.12,1,Basic,0,1,94774.12,Medium Value,Medium,0,Retained
180,15625426,Ashbolt,754,Low Risk,Germany,Female,55,Old,3,Established,161608.81,1,Basic,1,0,8080.85,Low value,Low,1,Churned
181,15716334,Rozier,850,Low Risk,Spain,Female,45,Middle Age,2,New,122311.21,1,Basic,1,1,19482.5,Low value,Low,0,Retained
182,15789669,Hsia,510,Medium Risk,France,Male,65,Old,2,New,0,2,Standard,1,1,48071.61,Low value,Low,0,Retained
183,15621075,Ogbonnaya,778,Low Risk,Germany,Female,45,Middle Age,1,New,162150.42,2,Standard,1,0,174531.27,High Value,High,0,Retained
184,15810845,T'ang,636,Medium Risk,France,Male,42,Middle Age,2,New,0,2,Standard,1,1,55470.78,Medium Value,Medium,0,Retained
185,15719377,Cocci,804,Low Risk,France,Female,50,Middle Age,4,Established,0,1,Basic,1,1,8546.87,Low value,Low,1,Churned
186,15654506,Chang,514,Medium Risk,France,Male,32,Middle Age,8,Loyal,0,2,Standard,1,0,95857.18,Medium Value,Medium,0,Retained
187,15771977,T'ao,730,Low Risk,France,Female,39,Middle Age,1,New,99010.67,1,Basic,1,0,194945.8,Medium Value,High,0,Retained
188,15708710,Ford,525,Medium Risk,Spain,Female,37,Middle Age,0,New,0,1,Basic,0,1,131521.72,Medium Value,High,0,Retained
189,15726676,Marshall,616,Medium Risk,Spain,Male,30,Middle Age,5,Established,0,2,Standard,0,1,196108.51,High Value,High,0,Retained
190,15587421,Tsai,687,Medium Risk,Germany,Female,34,Middle Age,7,Loyal,111388.18,2,Standard,1,0,148564.76,High Value,High,0,Retained
